web-scraper-order,web-scraper-start-url,id_local,id_local-href,tlf,mail,web,web2,cat,subcat,Localidad
1683624122-1,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/65,Uriclick,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/uriclick,Móvil722881361,Whatsapp722881361,Emailuriclick_juguetes@hotmail.com,,"Ocio, deportes y aficiones",Juguetes y artículos de fiesta,Vinaròs
1683624125-2,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/65,NAUTICA LES CASES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/nautica-cases,Móvil676129327,Whatsapp676129327,EmailNAUTICA_LES_CASES@HOTMAIL.COM,SPRINTER MEGACENTROS DEL DEPORTE SL,"Ocio, deportes y aficiones",Material deportivo,Vinaròs
1683624128-3,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/65,sambrano223,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/sambrano223,EmailKawtarben.com@gmail.com,Webhttp://Sambrano223.com,Tienda virtualhttp://Sambrano223.com,Negocios Cerca de mí,Servicios,"Publicidad, marketing y eventos",Vinaròs
1683624131-4,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/65,CASA PEÑA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/casa-pena,Teléfono964450713,,,,Hostelería y turismo,Heladería-Horchatería,Vinaròs
1683624134-5,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/65,La Tapisseria,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-tapisseria,Emaillatapisseriafp@gmail.com,,,,Hogar y decoración,Hogar y decoración en general,Vinaròs
1683624137-6,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/65,LA BOHEME,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-boheme,Teléfono606864580,Whatsapp606864580,Emailelkesarafernandez@gmail.com,INSIDE,Moda y complementos,Moda y complementos en general,Vinaròs
1683624143-7,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,Acta2 | Administrador de Fincas | Vinaros,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/acta2-administrador-fincas-vinaros,Teléfono964474253,Emailacta2@acta2.com,Webhttps://www.acta2.com,Tienda virtualhttps://www.acta2.com/vinaros,Finanzas y gestión,Servicios inmobiliarios,Vinaròs
1683624146-8,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,INSTALACIONES GRACIÀ,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/instalaciones-gracia,Emailinstaprogracia@gmail.com,,,REDO SEGURIDAD,Servicios,"Construcción, instalaciones y mantenimiento",Vinaròs
1683624149-9,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,TELEPIZZA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/telepizza-18,,,,BAR COSTA CALIDA,Hostelería y turismo,Restaurantes,Vinaròs
1683624152-10,https://vinaros.comercioscomunitatvalenciana.com/es/buscador/index/rel/64,YAA YOGUR SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/yaa-yogur-sl,,,,,Hostelería y turismo,Heladería-Horchatería,Vinaròs
