Nombre,URL,Categoría,Subcategoría,Dirección,Tlf Fijo,Tlf Móvil,Mail,Mail Genérico,Mail Dominio,Web,Certificado,WordPress,Versión WP,Cuerpo Mail Hecho,Puntuación,Cuerpo Mail,Localidad
Uriclick,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/uriclick,"ocio, deportes y aficiones",juguetes y articulos de fiesta,-1,-1,722881361,uriclick_juguetes@hotmail.com,si,outlook/hotmail,-1,-1,-1,-1,-1,-1,-1,Vinaros
NAUTICA LES CASES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/nautica-cases,"ocio, deportes y aficiones",material deportivo,-1,-1,676129327,NAUTICA_LES_CASES@HOTMAIL.COM,no,HOTMAIL,-1,-1,-1,-1,-1,-1,-1,Vinaros
sambrano223,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/sambrano223,servicios,"publicidad, marketing y eventos",-1,-1,-1,Kawtarben.com@gmail.com,si,gmail,Sambrano223.com,-1,-1,-1,-1,-1,-1,Vinaros
CASA PENA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/casa-pena,hosteleria y turismo,heladeria-horchateria,-1,964450713,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
La Tapisseria,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-tapisseria,hogar y decoracion,hogar y decoracion en general,-1,-1,-1,latapisseriafp@gmail.com,si,gmail,-1,-1,-1,-1,-1,-1,-1,Vinaros
LA BOHEME,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/la-boheme,moda y complementos,moda y complementos en general,-1,-1,606864580,elkesarafernandez@gmail.com,si,gmail,-1,-1,-1,-1,-1,-1,-1,Vinaros
Acta2 | Administrador de Fincas | Vinaros,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/acta2-administrador-fincas-vinaros,finanzas y gestion,servicios inmobiliarios,-1,964474253,-1,acta2@acta2.com,no,acta2,www.acta2.com,-1,-1,-1,-1,-1,-1,Vinaros
INSTALACIONES GRACIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/instalaciones-gracia,servicios,"construccion, instalaciones y mantenimiento",-1,-1,-1,instaprogracia@gmail.com,si,gmail,-1,-1,-1,-1,-1,-1,-1,Vinaros
TELEPIZZA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/telepizza-18,hosteleria y turismo,restaurantes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
YAA YOGUR SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/yaa-yogur-sl,hosteleria y turismo,heladeria-horchateria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
WASH-UP  (Lavanderia  Autoservicio),https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/washup-lavanderia-autoservicio,servicios,lavanderias,-1,-1,667010309,manuela.cervera@gmail.com,si,gmail,www.washup.es,-1,-1,-1,-1,-1,-1,Vinaros
VICENT GUILLEM,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/vicent-guillem,hogar y decoracion,fontaneria,-1,964450427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
VERDERA SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/verdera-sl,carburantes,gasolineras,-1,964401504,630794772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
TU PESCADERIA .ES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/tu-pescaderia-es,alimentacion,pescados y mariscos,-1,-1,722821415,info@tupescaderia.es,no,tupescaderia,-1,-1,-1,-1,-1,-1,-1,Vinaros
TRUKCENTER,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/trukcenter,hogar y decoracion,muebles,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
TRES REYES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/tres-reyes,hosteleria y turismo,restaurantes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
TALLER JUAN BORDES,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/taller-juan-bordes-2,vehiculos,mantenimiento y reparacion de vehiculos,-1,964400773,601129949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
SPRINTER MEGACENTROS DEL DEPORTE SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/sprinter-megacentros-deporte-sl-2,"ocio, deportes y aficiones",material deportivo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
SHOOTERS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/shooters,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
SHAIMA SALO DE PERRUQUERIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/shaima-salo-perruqueria,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
SERVIGROUP SERVICIOS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/servigroup-servicios,servicios,"construccion, instalaciones y mantenimiento",-1,964743457,634407606,servigroupservicios@europe.com,no,europe,-1,-1,-1,-1,-1,-1,-1,Vinaros
"SERVEISCULTU COME DOWN, S.L.",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/serveiscultu-come-down-sl,servicios,servicios profesionales,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
SEDO TALLER DE JOYERIA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/sedo-taller-joyeria,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
SANSE PUB SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/sanse-pub-sl,hosteleria y turismo,pubs y discotecas,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
RESTAURANTE CHINO FENIX,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/restaurante-chino-fenix,hosteleria y turismo,restaurantes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
RESTAURANT COP DE MAR,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/restaurant-cop-mar,hosteleria y turismo,restaurantes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
RESTAURANT CASA JOSE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/restaurant-casa-jose,hosteleria y turismo,restaurantes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
RELVI CB,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/relvi-cb,hogar y decoracion,muebles,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
RAQUEL PERRUQUERS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/raquel-perruquers,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
QUIMART CREATIVOS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/quim-art,servicios,"publicidad, marketing y eventos",-1,964744021,-1,info@quimartcreativos.com,no,quimartcreativos,www.quimartcreativos.com,-1,-1,-1,-1,-1,-1,Vinaros
QUE DE KE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/que-ke,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
"PUB MILLENNIUM, SL",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pub-millennium-sl,hosteleria y turismo,pubs y discotecas,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PROFESSIONAL ACADEMY OF ENGLISH SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/professional-academy-of-english-sl,servicios,"servicios de formacion (autoescuelas, academias...)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
"PRICE TOBON, EDNA ROCIO",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/price-tobon-edna-rocio,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PRALINE,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/praline,alimentacion,pan y pasteleria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
"POZALVIN, S.L.",https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pozalvin-sl,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
POLLERIA TRES PONTETS,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/polleria-tres-pontets,hosteleria y turismo,comidas para llevar,-1,964402071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PIZZERIA RESTAURANTE MISTRAL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pizzeria-restaurante-mistral,hosteleria y turismo,restaurantes,-1,964455018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PIZZERIA LA ITALIANA CB,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pizzeria-italiana-cb,hosteleria y turismo,restaurantes,-1,964451690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
Pescados Y Mariscos Fresquet Srl,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pescados-y-mariscos-fresquet-srl,alimentacion,alimentacion en general,-1,964407234,658762033,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PESCA ADELL SL,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/pesca-adell-sl,alimentacion,pescados y mariscos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PERRUQUERIA XARO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-xaro,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PERRUQUERIA SABINA VIZCARRO,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-sabina-vizcarro,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PERRUQUERIA ROSA ELENA,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-rosa-elena,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
PERRUQUERIA PILAR,https://vinaros.comercioscomunitatvalenciana.com/es/comercios/view/perruqueria-pilar,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Vinaros
