Nombre,Categoría,Subcategoría,Tlf Fijo,Tlf Móvil,Mail,Web,Localidad,Whatsapp eviado,Mail enviado
Uriclick,"ocio, deportes y aficiones",juguetes y articulos de fiesta,-1,722881361,uriclick_juguetes@hotmail.com,-1,Vinaros,-1,-1
NAUTICA LES CASES,"ocio, deportes y aficiones",material deportivo,-1,676129327,NAUTICA_LES_CASES@HOTMAIL.COM,-1,Vinaros,-1,-1
sambrano223,servicios,"publicidad, marketing y eventos",-1,-1,Kawtarben.com@gmail.com,Sambrano223.com,Vinaros,-1,-1
CASA PENA,hosteleria y turismo,heladeria-horchateria,964450713,-1,-1,-1,Vinaros,-1,-1
La Tapisseria,hogar y decoracion,hogar y decoracion en general,-1,-1,latapisseriafp@gmail.com,-1,Vinaros,-1,-1
LA BOHEME,moda y complementos,moda y complementos en general,-1,606864580,elkesarafernandez@gmail.com,-1,Vinaros,-1,-1
Acta2 | Administrador de Fincas | Vinaros,finanzas y gestion,servicios inmobiliarios,964474253,-1,acta2@acta2.com,www.acta2.com,Vinaros,-1,-1
INSTALACIONES GRACIA,servicios,"construccion, instalaciones y mantenimiento",-1,-1,instaprogracia@gmail.com,-1,Vinaros,-1,-1
TELEPIZZA,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
YAA YOGUR SL,hosteleria y turismo,heladeria-horchateria,-1,-1,-1,-1,Vinaros,-1,-1
WASH-UP  (Lavanderia  Autoservicio),servicios,lavanderias,-1,667010309,manuela.cervera@gmail.com,www.washup.es,Vinaros,-1,-1
VICENT GUILLEM,hogar y decoracion,fontaneria,964450427,-1,-1,-1,Vinaros,-1,-1
VERDERA SL,carburantes,gasolineras,964401504,630794772,-1,-1,Vinaros,-1,-1
TU PESCADERIA .ES,alimentacion,pescados y mariscos,-1,722821415,info@tupescaderia.es,-1,Vinaros,-1,-1
TRUKCENTER,hogar y decoracion,muebles,-1,-1,-1,-1,Vinaros,-1,-1
TRES REYES,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
TALLER JUAN BORDES,vehiculos,mantenimiento y reparacion de vehiculos,964400773,601129949,-1,-1,Vinaros,-1,-1
SPRINTER MEGACENTROS DEL DEPORTE SL,"ocio, deportes y aficiones",material deportivo,-1,-1,-1,-1,Vinaros,-1,-1
SHOOTERS,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
SHAIMA SALO DE PERRUQUERIA,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
SERVIGROUP SERVICIOS,servicios,"construccion, instalaciones y mantenimiento",964743457,634407606,servigroupservicios@europe.com,-1,Vinaros,-1,-1
"SERVEISCULTU COME DOWN, S.L.",servicios,servicios profesionales,-1,-1,-1,-1,Vinaros,-1,-1
SEDO TALLER DE JOYERIA,joyeria - relojeria,"joyerias, relojerias, compra-venta de oro",-1,-1,-1,-1,Vinaros,-1,-1
SANSE PUB SL,hosteleria y turismo,pubs y discotecas,-1,-1,-1,-1,Vinaros,-1,-1
RESTAURANTE CHINO FENIX,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
RESTAURANT COP DE MAR,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
RESTAURANT CASA JOSE,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
RELVI CB,hogar y decoracion,muebles,-1,-1,-1,-1,Vinaros,-1,-1
RAQUEL PERRUQUERS,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
QUIMART CREATIVOS,servicios,"publicidad, marketing y eventos",964744021,-1,info@quimartcreativos.com,www.quimartcreativos.com,Vinaros,-1,-1
QUE DE KE,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
"PUB MILLENNIUM, SL",hosteleria y turismo,pubs y discotecas,-1,-1,-1,-1,Vinaros,-1,-1
PROFESSIONAL ACADEMY OF ENGLISH SL,servicios,"servicios de formacion (autoescuelas, academias...)",-1,-1,-1,-1,Vinaros,-1,-1
"PRICE TOBON, EDNA ROCIO",salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
PRALINE,alimentacion,pan y pasteleria,-1,-1,-1,-1,Vinaros,-1,-1
"POZALVIN, S.L.",hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
POLLERIA TRES PONTETS,hosteleria y turismo,comidas para llevar,964402071,-1,-1,-1,Vinaros,-1,-1
PIZZERIA RESTAURANTE MISTRAL,hosteleria y turismo,restaurantes,964455018,-1,-1,-1,Vinaros,-1,-1
PIZZERIA LA ITALIANA CB,hosteleria y turismo,restaurantes,964451690,-1,-1,-1,Vinaros,-1,-1
Pescados Y Mariscos Fresquet Srl,alimentacion,alimentacion en general,964407234,658762033,-1,-1,Vinaros,-1,-1
PESCA ADELL SL,alimentacion,pescados y mariscos,-1,-1,-1,-1,Vinaros,-1,-1
PERRUQUERIA XARO,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
PERRUQUERIA SABINA VIZCARRO,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
PERRUQUERIA ROSA ELENA,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
PERRUQUERIA PILAR,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
PERRUQUERIA MARIA,salud y belleza,peluquerias y salones de belleza,-1,-1,-1,-1,Vinaros,-1,-1
PERRUQUERIA JUAN ROJAS,salud y belleza,peluquerias y salones de belleza,964456937,-1,-1,-1,Vinaros,-1,-1
PENYA VALENCIA,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
PENA TAURINA PAN Y TOROS DE VINAROZ,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
PENA MADRIDISTA VINAROS,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
PEIXATERIA TREMENDO,alimentacion,pescados y mariscos,-1,658520363,-1,www.mercatdevinaros.es/,Vinaros,-1,-1
PAULA ESCOBAR HAIR ESTHETIC,salud y belleza,peluquerias y salones de belleza,-1,722871137,paula.057@hotmail.com,-1,Vinaros,-1,-1
NORAUTO SA,vehiculos,mantenimiento y reparacion de vehiculos,-1,-1,-1,-1,Vinaros,-1,-1
MATARO,hosteleria y turismo,bar-cafeteria,-1,-1,-1,-1,Vinaros,-1,-1
MARMOLES SOSPEDRA,mayoristas,mayoristas (otros),964400352,639766373,MARMOLESSOSPEDRA@GMAIL.COM,-1,Vinaros,-1,-1
LOS ARCOS,hosteleria y turismo,restaurantes,-1,-1,-1,-1,Vinaros,-1,-1
LOGROS CUINES CB,hogar y decoracion,cocinas y banos,-1,-1,-1,-1,Vinaros,-1,-1
LLIBRERIA OBREDA,"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos",-1,-1,-1,-1,Vinaros,-1,-1
LITOCOLOR LINEART,servicios,"publicidad, marketing y eventos",964401300,-1,LITOCOLOR@LINEART.ES,www.lineart.es,Vinaros,-1,-1
