Categoria,Subcategorias
"ocio, deportes y aficiones",alquiler de peliculas y videojuegos
"ocio, deportes y aficiones",juguetes y articulos de fiesta
"ocio, deportes y aficiones",material deportivo
"ocio, deportes y aficiones",musica e instrumentos musicales
"ocio, deportes y aficiones","gimnasios, boleras y otros centros deportivos"
"ocio, deportes y aficiones","cines, teatros y espectaculos"
"ocio, deportes y aficiones",tienda de articulos eroticos/sex shop
servicios,servicios funerarios
servicios,"publicidad, marketing y eventos"
servicios,"construccion, instalaciones y mantenimiento"
servicios,lavanderias
servicios,servicios profesionales
servicios,"servicios de formacion (autoescuelas, academias...)"
servicios,"servicios de transporte (mensajeria, taxis...)"
servicios,agencias de viaje
servicios,reparacion de calzado
servicios,compostura y arreglo ropa
servicios,tintorerias
hosteleria y turismo,apartamentos en alquiler
hosteleria y turismo,heladeria-horchateria
hosteleria y turismo,restaurantes
hosteleria y turismo,bar-cafeteria
hosteleria y turismo,pubs y discotecas
hosteleria y turismo,comidas para llevar
hosteleria y turismo,"hoteles, hostales y pensiones"
hosteleria y turismo,camping
hogar y decoracion,manualidades y bellas artes
hogar y decoracion,hogar y decoracion en general
hogar y decoracion,fontaneria
hogar y decoracion,muebles
hogar y decoracion,cocinas y banos
hogar y decoracion,decoracion e interiorismo
hogar y decoracion,electricidad
hogar y decoracion,carpinteria
hogar y decoracion,pinturas
hogar y decoracion,material de construccion
hogar y decoracion,textil hogar
hogar y decoracion,"artesania, ceramica, regalos y bazar"
hogar y decoracion,"cristaleria, vajilla, cuberteria, otros utensilios del hogar"
hogar y decoracion,iluminacion
hogar y decoracion,ferreteria
hogar y decoracion,bricolaje (herramientas para casa y jardin)
hogar y decoracion,cuadros y enmarcaciones
moda y complementos,lenceria
moda y complementos,moda y complementos en general
moda y complementos,moda mujer
moda y complementos,moda infantil y puericultura
moda y complementos,"zapatos, bolsos y complementos"
moda y complementos,moda hombre
moda y complementos,merceria
finanzas y gestion,seguros
finanzas y gestion,servicios inmobiliarios
finanzas y gestion,entidades financieras
finanzas y gestion,gestorias-asesorias
carburantes,gasolineras
alimentacion,hipermercados y grandes almacenes
alimentacion,pescados y mariscos
alimentacion,pan y pasteleria
alimentacion,alimentacion en general
alimentacion,carnes / embutidos / huevos
alimentacion,frutas y verduras
alimentacion,supermercados
alimentacion,bebidas
alimentacion,congelados
alimentacion,encurtidos / frutos secos / aperitivos
alimentacion,locales de maquinas de vending
vehiculos,recambios
vehiculos,mantenimiento y reparacion de vehiculos
vehiculos,compra-venta de vehiculos
salud y belleza,opticas
salud y belleza,peluquerias y salones de belleza
salud y belleza,"servicios medicos (clinicas, ortopedia...)"
salud y belleza,farmacias y parafarmacias
salud y belleza,herboristerias y dietetica
joyeria - relojeria,compra-venta de oro
joyeria - relojeria,"joyerias, relojerias, compra-venta de oro"
mayoristas,mayoristas agroalimentarios
mayoristas,mayoristas (otros)
mayoristas,mayoristas hogar
"papeleria, libreria y quioscos","papeleria, libreria, prensa y quioscos"
"flores, jardineria y animales",clinicas veterinarias
"flores, jardineria y animales",mascotas y accesorios
"flores, jardineria y animales","floristeria, jardineria y productos agricolas"
drogueria - perfumeria,perfumeria especializada y belleza
drogueria - perfumeria,drogueria y productos de limpieza
"informatica, imagen y sonido",fotografia
"informatica, imagen y sonido",electrodomesticos y electronica en general
"informatica, imagen y sonido",telefonia y telecomunicaciones
"informatica, imagen y sonido",informatica y consolas
tabaco y loterias,"tabacos, cigarrillos electronicos y articulos de fumador"
tabaco y loterias,loterias y apuestas
,
